"resource_id","title","series","evidence_type","subject","grade_band","population","url","notes"
"R01","Supports for Multilingual Students who are Classified as English Learners (updated Sept 2024)","edresearch_overview","synthesis","any","all","mll","https://edresearchforaction.org/research-briefs/supports-for-multilingual-students-who-are-classified-as-english-learners/","Primary synthesis for MLL/EL population; supersedes 2021 EL brief"
"R02","Promoting School Success for Immigrant-Origin Students","edresearch_overview","synthesis","any","all","immigrant","https://edresearchforaction.org/research-briefs/promoting-school-success-for-immigrant-origin-students/","Overlaps MLL population; supersedes 2021 immigrant-families brief"
"R03","Academic Supports for Students with Disabilities","edresearch_overview","synthesis","any","all","swd","https://edresearchforaction.org/research-briefs/academic-supports-for-students-with-disabilities/","Primary synthesis for SWD population"
"R04","Addressing Special Education Staffing Shortages: Strategies for Schools","edresearch_overview","synthesis","any","all","swd","https://edresearchforaction.org/research-briefs/addressing-special-education-staffing-shortages-strategies-for-schools/","District capacity lens; staffing not instruction"
"R05","Educational Practices to Identify and Support Students Experiencing Homelessness","edresearch_overview","synthesis","any","all","homeless","https://edresearchforaction.org/research-briefs/identifying-and-supporting-students-experiencing-homelessness/","Only relevant if district data include McKinney-Vento flag"
"R06","Design Principles for Accelerating Student Learning with High-Impact Tutoring (updated June 2024)","edresearch_design","synthesis","any","all","general","https://edresearchforaction.org/research-briefs/design-principles-for-accelerating-student-learning-with-high-impact-tutoring/","Strongest general acceleration evidence; supersedes original tutoring brief"
"R07","Design Principles for Academic Summer Learning Programs","edresearch_design","synthesis","any","all","general","https://edresearchforaction.org/research-briefs/advancing-student-learning-and-opportunity-through-voluntary-academic-summer-learning-programs/",""
"R08","Accelerating Student Academic Recovery","edresearch_overview","synthesis","any","all","general","https://edresearchforaction.org/research-briefs/accelerating-student-academic-recovery/","Supersedes 2020 learning-loss brief"
"R09","Reducing Student Absenteeism","edresearch_overview","synthesis","any","all","general","https://edresearchforaction.org/research-briefs/reducing-student-absenteeism/","Surface only where attendance is a plausible channel (e.g. mobility/homelessness)"
"R10","Tier 1 Instructional Strategies to Improve K-4 Reading Comprehension","edresearch_overview","synthesis","ela","elementary","general","https://edresearchforaction.org/research-briefs/tier-1-instructional-strategies-to-improve-k-4-reading-comprehension/","Only elementary-ELA instructional synthesis in corpus"
"R11","Evidence-Based Practices for Teaching Writing in Middle and High School","edresearch_overview","synthesis","ela","secondary","general","https://edresearchforaction.org/research-briefs/evidence-based-practices-for-teaching-writing-in-middle-and-high-school/","Construct caution: writing instruction vs. reading-weighted state ELA assessments"
"R12","Evidence-Based Practices for Algebra 1 Access, Placement, and Success","edresearch_overview","synthesis","math","secondary","general","https://edresearchforaction.org/research-briefs/evidence-based-practices-for-algebra-1-access-placement-and-success/","Access/placement policy focus, not general math instruction"
"R13","District Systems to Support Equitable and High-Quality Teaching and Learning","edresearch_overview","synthesis","any","all","equity_general","https://edresearchforaction.org/research-briefs/district-systems-to-support-equitable-and-high-quality-teaching-and-learning/","Systems-level; closest synthesis match for FRL and race/ethnicity gaps"
"R14","Design Principles for Improving Practice with Instructional Coaching","edresearch_design","synthesis","any","all","general","https://edresearchforaction.org/research-briefs/design-principles-for-improving-practice-with-instructional-coaching/","Instructional capacity channel"
"R15","Algebra I Policy Self-Assessment: Aligning to the Evidence (Tool)","hub_tool","practitioner_tool","math","secondary","general","https://edresearchforaction.org/wp-content/uploads/Algebra-1-Aligning-to-the-Evidence-Tool.pdf","Companion to R12; PDF self-assessment"
"R16","Algebra I Placement and Access: A Facilitation Guide for District Leadership Teams","hub_tool","practitioner_tool","math","secondary","general","https://docs.google.com/presentation/d/1CFyGpBEIkliZcokjyqqhnRs_hBR0QRCZtsXEStIqgHI/edit?usp=sharing","Companion to R12; Google Slides link - hosting stability risk"
"R17","Closing the Gaps: Early Impacts of Dallas ISD's Opt-out Policy on Advanced Course Enrollment (EdWP 25-1184)","edworkingpaper","single_study","math","secondary","frl_race","https://edworkingpapers.com/ai25-1184","Single quasi-experimental study; advanced-course enrollment outcome, not growth"
"R18","Improving College Readiness in Mathematics in the Context of a Comprehensive High School Reform (EdWP 25-1131)","edworkingpaper","single_study","math","high","general","https://edworkingpapers.com/ai25-1131","Single study; HS reform context"
"R19","Socioeconomic and Racial Discrepancies in Algebra Access, Teacher, and Learning Experiences (EdWP 24-1084)","edworkingpaper","single_study","math","secondary","frl_race","https://edworkingpapers.com/ai25-1084","Descriptive national survey evidence; documents disparities, does not test interventions"
"R20","Accelerating Opportunity: The Effects of Instructionally Supported Detracking (EdWP 24-986)","edworkingpaper","single_study","math","secondary","general","https://edworkingpapers.com/ai24-986","Single quasi-experimental study"
"R21","Measuring Belonging, Rigor, Discourse, and CRSE in Math Instruction (EdInstruments Collection)","edinstruments","measurement","math","all","general","https://edinstruments.org/collections/math-instruction-collection","Student-perspective instruments for follow-up data collection"
"R22","Assessing ELA and Math Curriculum Shifts: A Practical Guide for Measurement and Progress Monitoring (EdInstruments Toolkit)","edinstruments","measurement","any","all","general","https://edinstruments.org/toolkits/assessing-ela-and-math-curriculum-shifts-practical-guide-measurement-and-progress","Implementation progress-monitoring toolkit"
