"finding_type","subgroup","subject","grade_band","resource_id","match_strength","rationale"
"subgroup_gap","mll","any","any","R01","direct","Research synthesis on supports for students classified as English learners"
"subgroup_gap","mll","any","any","R02","adjacent","Related synthesis on immigrant-origin students; populations overlap but are not identical"
"subgroup_gap","mll","any","any","R06","general","Broad evidence on accelerating learning; not specific to this finding"
"subgroup_gap","mll","any","any","R08","general","Broad evidence on accelerating learning; not specific to this finding"
"subgroup_gap","swd","any","any","R03","direct","Research synthesis on academic supports for students with disabilities"
"subgroup_gap","swd","any","any","R04","adjacent","District staffing-capacity evidence; relevant if special education staffing is a constraint"
"subgroup_gap","swd","any","any","R06","general","Broad evidence on accelerating learning; not specific to this finding"
"subgroup_gap","swd","any","any","R08","general","Broad evidence on accelerating learning; not specific to this finding"
"subgroup_gap","frl","math","middle","R19","adjacent","Descriptive national evidence on SES disparities in algebra access and learning experiences; documents patterns, does not evaluate interventions"
"subgroup_gap","frl","math","high","R19","adjacent","Descriptive national evidence on SES disparities in algebra access and learning experiences; documents patterns, does not evaluate interventions"
"subgroup_gap","frl","math","middle","R17","adjacent","Single study of an opt-out advanced-placement policy; outcome is course enrollment, not achievement growth"
"subgroup_gap","frl","math","high","R17","adjacent","Single study of an opt-out advanced-placement policy; outcome is course enrollment, not achievement growth"
"subgroup_gap","frl","any","any","R13","adjacent","Systems-level synthesis on equitable access to high-quality instruction; closest available synthesis for income gaps"
"subgroup_gap","frl","any","any","R06","general","Broad evidence on accelerating learning; not specific to this finding"
"subgroup_gap","frl","any","any","R07","general","Broad evidence on accelerating learning; not specific to this finding"
"subgroup_gap","frl","any","any","R08","general","Broad evidence on accelerating learning; not specific to this finding"
"subgroup_gap","race","math","middle","R19","adjacent","Descriptive national evidence on racial disparities in algebra access and learning experiences"
"subgroup_gap","race","math","high","R19","adjacent","Descriptive national evidence on racial disparities in algebra access and learning experiences"
"subgroup_gap","race","math","middle","R17","adjacent","Single study of an opt-out policy aimed at racial gaps in advanced course enrollment"
"subgroup_gap","race","math","high","R17","adjacent","Single study of an opt-out policy aimed at racial gaps in advanced course enrollment"
"subgroup_gap","race","math","middle","R20","adjacent","Single study of instructionally supported detracking"
"subgroup_gap","race","math","high","R20","adjacent","Single study of instructionally supported detracking"
"subgroup_gap","race","any","any","R13","adjacent","Systems-level synthesis on equitable access to high-quality instruction"
"subgroup_gap","race","any","any","R06","general","Broad evidence on accelerating learning; not specific to this finding"
"subgroup_gap","race","any","any","R07","general","Broad evidence on accelerating learning; not specific to this finding"
"subgroup_gap","race","any","any","R08","general","Broad evidence on accelerating learning; not specific to this finding"
"subgroup_gap","homeless","any","any","R05","direct","Research synthesis on identifying and supporting students experiencing homelessness"
"subgroup_gap","homeless","any","any","R09","adjacent","Attendance is a common mediating channel for highly mobile students"
"subgroup_gap","homeless","any","any","R06","general","Broad evidence on accelerating learning; not specific to this finding"
"subgroup_gap","homeless","any","any","R08","general","Broad evidence on accelerating learning; not specific to this finding"
"low_growth","","math","elementary","R06","general","Broad evidence on accelerating learning; not specific to this finding"
"low_growth","","math","elementary","R07","general","Broad evidence on accelerating learning; not specific to this finding"
"low_growth","","math","elementary","R08","general","Broad evidence on accelerating learning; not specific to this finding"
"low_growth","","math","elementary","R14","adjacent","Instructional-capacity channel; not math-specific"
"low_growth","","math","elementary","R22","adjacent","Toolkit for monitoring math curriculum implementation"
"low_growth","","math","middle","R12","direct","Synthesis on Algebra I access, placement, and success; placement decisions concentrate in middle grades. Note: addresses access and placement policy, not general instructional quality"
"low_growth","","math","middle","R15","adjacent","Self-assessment tool for aligning placement policy to evidence; companion to the Algebra I brief"
"low_growth","","math","middle","R16","adjacent","Facilitation guide for district leadership teams; companion to the Algebra I brief"
"low_growth","","math","middle","R20","adjacent","Single study of instructionally supported detracking"
"low_growth","","math","middle","R21","adjacent","Instruments for measuring math instructional experience from the student perspective"
"low_growth","","math","middle","R06","general","Broad evidence on accelerating learning; not specific to this finding"
"low_growth","","math","middle","R08","general","Broad evidence on accelerating learning; not specific to this finding"
"low_growth","","math","high","R12","direct","Synthesis on Algebra I access, placement, and success. Note: addresses access and placement policy, not general instructional quality"
"low_growth","","math","high","R15","adjacent","Self-assessment tool for aligning placement policy to evidence"
"low_growth","","math","high","R16","adjacent","Facilitation guide for district leadership teams"
"low_growth","","math","high","R18","adjacent","Single study of math college-readiness gains within a comprehensive high school reform"
"low_growth","","math","high","R20","adjacent","Single study of instructionally supported detracking"
"low_growth","","math","high","R21","adjacent","Instruments for measuring math instructional experience from the student perspective"
"low_growth","","math","high","R06","general","Broad evidence on accelerating learning; not specific to this finding"
"low_growth","","math","high","R08","general","Broad evidence on accelerating learning; not specific to this finding"
"low_growth","","ela","elementary","R10","direct","Synthesis on Tier 1 instructional strategies for K-4 reading comprehension"
"low_growth","","ela","elementary","R14","adjacent","Instructional-capacity channel; not ELA-specific"
"low_growth","","ela","elementary","R06","general","Broad evidence on accelerating learning; not specific to this finding"
"low_growth","","ela","elementary","R07","general","Broad evidence on accelerating learning; not specific to this finding"
"low_growth","","ela","elementary","R08","general","Broad evidence on accelerating learning; not specific to this finding"
"low_growth","","ela","middle","R11","adjacent","Synthesis on writing instruction; state ELA growth measures are typically reading-weighted, so construct match is partial"
"low_growth","","ela","high","R11","adjacent","Synthesis on writing instruction; state ELA growth measures are typically reading-weighted, so construct match is partial"
"low_growth","","ela","middle","R22","adjacent","Toolkit for monitoring ELA curriculum implementation"
"low_growth","","ela","high","R22","adjacent","Toolkit for monitoring ELA curriculum implementation"
"low_growth","","ela","middle","R06","general","Broad evidence on accelerating learning; not specific to this finding"
"low_growth","","ela","middle","R08","general","Broad evidence on accelerating learning; not specific to this finding"
"low_growth","","ela","high","R06","general","Broad evidence on accelerating learning; not specific to this finding"
"low_growth","","ela","high","R08","general","Broad evidence on accelerating learning; not specific to this finding"
